timestamp,Station,Station_ID,Source_Period,Source_File,wind_direction_deg,wind_direction_interpolated_deg,wind_dir_sin,wind_dir_cos,wind_speed_ms,wind_speed_10min_ms,wind_gust_ms,temperature_c,min_temp_10cm_c,dew_point_c,sunshine_duration_h,global_radiation_j_cm2,precip_duration_h,precipitation_mm,pressure_hpa,visibility_code,cloud_cover_octants,humidity_pct,wind_speed_hub_ms,wind_power_density,wind_speed_lag_1h,wind_speed_lag_2h,wind_speed_lag_3h,wind_speed_lag_6h,wind_speed_lag_12h,wind_speed_lag_24h,wind_speed_roll_3h,wind_speed_roll_6h,wind_speed_roll_12h,wind_speed_roll_24h,hour,month,hour_sin,hour_cos,month_sin,month_cos
2015-01-02 00:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.4740339499207336,-1.0311376294381234,11.0,11.0,18.0,-0.6463917687227647,3.8,4.3,0.0,0,0.4,0.5,0.40567042942787856,65.0,8.0,88,1.9212307685786774,1.87279599503571,1.592238671017287,13.208418166481216,13.208418166481216,1.2624103125743555,7.92505089988873,-0.38074679975716136,1.7417835814175697,13.208418166481216,11.337225592896376,0.732141075815321,0,1,0.0,1.0,0.49999999999999994,0.8660254037844387
2015-01-02 01:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,210.0,210.0,-0.4740339499207336,-1.0311376294381234,10.0,10.0,18.0,-0.5733682935926382,4.0,5.5,0.0,0,0.6,0.5,0.32984487818815966,59.0,8.0,93,1.5925518279588353,1.2692826447873677,1.9208819964071202,13.208418166481216,13.208418166481216,1.5909062435886498,9.245892716536853,-0.38074679975716136,1.7417835814175697,13.208418166481216,11.667436047058409,0.8337560137201032,1,1,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
2015-01-02 02:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,220.0,219.99999999999997,-0.6873844607355855,-0.8879570482465371,12.0,13.0,20.0,-0.2630185242896003,4.2,6.9,0.0,0,0.6,0.5,0.301410296473257,61.0,8.0,91,2.249909709198519,2.5966473546991296,1.592238671017287,14.52925998312934,13.208418166481216,1.2624103125743555,7.92505089988873,-0.05217558035656322,1.9660273055967687,13.868839074805278,12.32785695538247,0.9523067746090158,2,1,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
2015-01-02 03:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,230.0,230.0,-0.8715524598495236,-0.7114435907919542,13.0,14.0,20.0,-0.2082509179420056,4.3999999999999995,7.6,0.0,0,0.0,0.0,0.27297571475836513,56.0,8.0,93,2.57858864981836,3.45177654281536,2.249525321796953,13.208418166481216,14.52925998312934,1.5909062435886498,7.92505089988873,-0.38074679975716136,2.1902710297759684,14.529259983129338,13.098348015093874,1.1047291814661895,3,1,0.7071067811865475,0.7071067811865476,0.49999999999999994,0.8660254037844387
2015-01-02 04:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,230.0,230.0,-0.8715524598495236,-0.7114435907919542,14.0,14.0,20.0,-0.062203967681752424,4.6,8.6,0.0,0,0.5,0.2,0.24454113304346245,57.0,8.0,95,2.907267590438202,4.449123378422137,2.5781686471867853,15.85010179977746,13.208418166481216,1.5909062435886498,9.245892716536853,-0.05217558035656322,2.6387584781343665,15.409821194228087,13.86883907480528,1.257151588323363,4,1,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
2015-01-02 05:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,240.0,239.99999999999991,-1.020942095802975,-0.506960529159013,14.0,13.0,20.0,0.08384298257850044,4.8,9.4,0.0,0,0.0,0.0,0.32984487818815966,57.0,8.0,95,2.907267590438202,4.449123378422137,2.906811972576618,17.170943616425582,15.85010179977746,1.5909062435886498,10.566734533184974,0.27639563904403514,2.8630022023135653,16.290382405326834,14.529259983129338,1.3926381721964067,5,1,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
2015-01-02 06:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,280.0,280.0,-1.1984244063421494,0.45775652251785565,10.0,9.0,19.0,0.010819507448374168,5.183333333333334,5.9,0.0,0,0.3,0.8,0.48149598066759747,65.0,8.0,77,1.5925518279588353,1.2692826447873677,2.906811972576618,18.491785433073705,17.170943616425582,1.9194021746029446,11.887576349833095,0.27639563904403514,2.5266366160447675,16.070242102552147,14.639330134516682,1.4603814641329274,6,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387
2015-01-02 07:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,300.0,300.0,-1.0209420958029753,0.9251179409676458,9.0,9.0,14.0,-0.1534833115944106,5.566666666666666,4.1,0.0,0,0.0,0.0,0.633147083147046,69.0,8.0,72,1.263872887338994,0.7751674849163688,1.592238671017287,18.491785433073705,18.491785433073705,1.5909062435886498,13.208418166481216,-0.05217558035656322,1.9660273055967687,15.850101799777462,14.529259983129338,1.5281247560694493,7,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387
2015-01-02 08:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,280.0,280.0,-1.1984244063421494,0.45775652251785565,9.0,8.0,15.0,-0.2630185242896003,5.95,4.5,0.0,5,0.0,0.0,0.7468854100066352,66.0,8.0,77,1.263872887338994,0.7751674849163688,1.2635953456274545,13.208418166481216,18.491785433073705,2.247898105617239,11.887576349833095,-0.05217558035656322,1.4054179951487709,15.189680891453401,14.529259983129338,1.5958680480059706,8,1,0.8660254037844387,-0.49999999999999983,0.49999999999999994,0.8660254037844387
2015-01-02 09:00:00,Valkenburg,210,2011-2020,Valkenburg_210_2011-2020.txt,290.0,290.0,-1.1310142401022982,0.698878389510641,10.0,11.0,16.0,-0.31778613063719535,6.333333333333333,2.1,0.0,18,0.0,0.0,0.8701019307711919,74.0,1.0,66,1.5925518279588353,1.2692826447873677,1.2635953456274545,11.887576349833095,13.208418166481216,2.5763940366315334,13.208418166481216,0.27639563904403514,1.4054179951487709,14.529259983129338,14.529259983129341,1.6636113399424923,9,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
