"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2021 - 01/01/2022","2021","BZN|NL","Biomass","560.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Energy storage","n/e",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Gas","18500.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Hard coal","4012.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Oil","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Fossil Peat","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Geothermal","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Hydro Run-of-river and pondage","38.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Marine","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Nuclear","485.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Other","1.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Other renewable","0.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Solar","14823.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Waste","780.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Wind Offshore","2460.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","Wind Onshore","5214.00",""
"01/01/2021 - 01/01/2022","2021","BZN|NL","","","46873.00"
