"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2016 - 01/01/2017","2016","BZN|NL","Biomass","398.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Energy storage","n/e",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Gas","19914.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Hard coal","5658.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Oil","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Fossil Peat","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Geothermal","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Hydro Run-of-river and pondage","37.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Marine","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Nuclear","486.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Other","1.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Other renewable","0.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Solar","2135.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Waste","674.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Wind Offshore","957.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","Wind Onshore","3300.00",""
"01/01/2016 - 01/01/2017","2016","BZN|NL","","","33560.00"
