"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2020 - 01/01/2021","2020","BZN|NL","Biomass","490.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Energy storage","n/e",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Gas","15496.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Hard coal","4662.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Oil","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Fossil Peat","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Geothermal","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Hydro Run-of-river and pondage","37.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Marine","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Nuclear","485.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Other","1.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Other renewable","0.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Solar","11108.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Waste","790.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Wind Offshore","2460.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","Wind Onshore","4188.00",""
"01/01/2020 - 01/01/2021","2020","BZN|NL","","","39717.00"
