"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2014 - 01/01/2015","2014","BZN|NL","Biomass","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Energy storage","n/e",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Brown coal/Lignite","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Coal-derived gas","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Gas","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Hard coal","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Oil","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Oil shale","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Fossil Peat","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Geothermal","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Hydro Pumped Storage","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Hydro Run-of-river and pondage","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Hydro Water Reservoir","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Marine","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Nuclear","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Other","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Other renewable","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Solar","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Waste","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Wind Offshore","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","Wind Onshore","N/A",""
"01/01/2014 - 01/01/2015","2014","BZN|NL","","","N/A"
