Location,year,month,avg_power,avg_wind_speed_100m,avg_wind_speed_10m,avg_temperature_2m,reading_count
1,2013,1,0.3764989415555556,6.493521639522222,3.7819030578958337,26.850155775827776,720
1,2013,2,0.5065741598095238,7.353364893556548,4.365329645190476,32.43570141047619,672
1,2013,3,0.48126752578494625,7.1753262991922035,4.416975190513441,31.90365935979032,744
1,2013,4,0.3757110249611111,7.246854973047221,4.3615697245569445,48.42904466444445,720
1,2013,5,0.4497474989032258,6.571294040966398,4.02807734104301,53.830272263010755,744
1,2013,6,0.36226296933333335,6.079396639355555,3.6737225023333333,65.75154466444444,720
1,2013,7,0.29134400427956986,4.900191890134408,2.988749384053764,69.04532602645162,744
1,2013,8,0.26083352040860214,5.107476836435484,3.062405298032258,66.26508409096775,744
1,2013,9,0.2900026915555556,4.927521639255556,2.8528475023333333,63.75946133111112,720
1,2013,10,0.5171125526666667,7.0845467292674735,4.0818676636236555,54.82677763935484,744
1,2013,11,0.504694636,6.821146639684723,4.018916946777778,36.75779466444445,720
1,2013,12,0.4614477677204301,6.857987589526881,4.010805835668011,22.898148607801076,744
1,2014,1,0.6482511279354838,7.939170385467742,4.757391857172043,23.107422801397853,744
1,2014,2,0.5067298145714285,6.997114893471726,4.099287978523809,26.715612125089283,672
1,2014,3,0.524877068795699,6.749815546221774,3.992620351795699,28.511992693139785,744
1,2014,4,0.382548386,6.400285528427778,3.8963891690055554,36.24432244222222,720
1,2014,5,0.40056093995161285,5.898901567727151,3.493225190512097,60.95621312322581,744
1,2014,6,0.3126803305777778,5.5715910837375,3.411555835666667,65.24140577555556,720
1,2014,7,0.24596698815053764,4.768874685825269,2.9030504593225808,71.44330989741935,744
1,2014,8,0.24734467632258064,5.128350492321236,3.0760746528709677,70.97973462860216,744
1,2014,9,0.3004636638388889,5.543452194898611,3.304375280111111,63.91376688666667,720
1,2014,10,0.47648231073118275,6.872759094766129,4.09169293244086,48.53457333827957,744
1,2014,11,0.44288824711111113,6.695146639551389,3.9984030578888885,33.110155775555555,720
1,2014,12,0.4019109397634409,6.222261782696237,3.583359599107527,30.514680865161292,744
1,2015,1,0.47402451503225806,7.149828987416667,4.385214437817204,20.478256134736558,744
1,2015,2,0.4717945467142857,7.135046441452381,4.321832621398809,23.621415696499998,672
1,2015,3,0.4311180634569892,6.880904256084678,4.1248784163172045,29.123014198833335,744
1,2015,4,0.5325778304444444,7.305466084254167,4.383083613444445,42.77640577555556,720
1,2015,5,0.3541614773978495,5.860245653772849,3.5360612120107526,52.67865935978495,744
1,2015,6,0.313223386,5.586896639338889,3.357139169,62.61862799777778,720
1,2015,7,0.2626750527043011,5.161522535287634,3.1466660507204303,71.54680452107526,744
1,2015,8,0.24055878922580645,5.136724148267473,3.110873039967742,68.07650882215054,744
1,2015,9,0.34108644155555556,5.7697299726805555,3.415389169,63.93987799777778,720
1,2015,10,0.46974709567741935,7.06718113784543,4.149125728139785,50.178928176989245,744
1,2015,11,0.44479505266666663,6.704424417266667,3.9069308356680557,32.73501688672222,720
1,2015,12,0.4946203483655914,7.142906944264785,4.1699456206129035,31.507557209247313,744
1,2016,1,0.4264320419139785,6.719251030306451,3.9493004593225804,29.32167011247312,744
1,2016,2,0.5332457423218391,7.376075279456897,4.309986870150863,25.262358840931032,696
1,2016,3,0.4441871494408602,6.56766500880914,3.9739644378212367,36.95352495118279,744
1,2016,4,0.4414331082222222,6.433591084083333,3.9754863912263887,41.516544664444446,720
1,2016,5,0.4008208860188172,5.919976836560484,3.596276265774194,53.259707746881716,744
1,2016,6,0.292328941575,5.440854972747222,3.357875280111111,67.54668355333334,720
1,2016,7,0.23782438062365593,4.827006406267473,2.9652278786774198,73.68632065010753,744
1,2016,8,0.24093889675268818,5.127866621365591,3.0956848679247315,69.72207333827957,744
1,2016,9,0.36408671933333336,6.218479972713889,3.670597502333333,60.807794664444444,720
1,2016,10,0.43418876234408604,6.585984901254032,3.9230370184623653,47.95204645655914,744
1,2016,11,0.550304636025,7.803243862119445,4.481930835676389,43.77223910888889,720
1,2016,12,0.5207411816989247,7.154506406735215,4.224784330290323,30.832422800645162,744
2,2013,1,0.38014380266666664,10.189938307505555,6.897930835776388,12.559600221188889,720
2,2013,2,0.3981318979047619,9.01506132291369,5.595612383294643,22.561743078089286,672
2,2013,3,0.26128190750537633,7.220742965939516,4.731840781962365,29.676240005231183,744
2,2013,4,0.3000810248888889,6.531021639672223,4.3230002801125,43.29126688666667,720
2,2013,5,0.3279179290107527,7.2932698476276885,4.801262824923387,55.09976151032258,744
2,2013,6,0.3628665804444444,7.228368862023611,4.711028057891666,65.72501688666667,720
2,2013,7,0.21031228384946235,5.967570922561828,3.8563165883575268,72.19035290817204,744
2,2013,8,0.1830769343870968,5.688632750381721,3.670133792655914,65.0660249511828,744
2,2013,9,0.28753908044444443,7.2754660841,4.694805835676389,60.22057244222223,720
2,2013,10,0.4651324451397849,9.058337052594085,5.727351534642473,47.30527226301076,744
2,2013,11,0.3960188026666666,8.092729973455555,4.971403057904167,30.14765577556111,720
2,2013,12,0.38890300965591396,8.609116622099462,5.433883792682796,18.652180865903226,744
2,2014,1,0.36751981073118284,8.313968772923387,5.098157986209677,14.878390543827956,744
2,2014,2,0.43663293957142857,8.051876798693453,5.060761192809524,10.157576412654763,672
2,2014,3,0.32091779460215053,7.239103181037634,4.465281642122312,24.212395919166664,744
2,2014,4,0.41364324711111117,7.740271639888889,4.817944724565278,31.621127998233337,720
2,2014,5,0.23588432686021504,6.2948961914193555,3.9551741152365594,60.23954645655914,744
2,2014,6,0.27247963599999997,7.001118861794445,4.546944724566667,67.84001688666667,720
2,2014,7,0.18821067094623653,5.953135438759409,3.8867332550215057,70.34653570387097,744
2,2014,8,0.20555408492473118,5.94821608386828,3.7971902442688177,68.18537978989248,744
2,2014,9,0.26367894155555555,7.435202195177778,4.763403057891667,56.877794664444444,720
2,2014,10,0.27766671933333337,7.906092428522849,4.973682179764785,40.042772263010754,744
2,2014,11,0.22467158044444446,6.8591327507583335,4.529430835669444,24.588211331361112,720
2,2014,12,0.2830937354623656,8.134022536170699,5.012795082990591,22.135245381682797,744
2,2015,1,0.2939844612688172,8.74836393430242,5.631934867997312,8.21575613563441,744
2,2015,2,0.29246686814285716,8.500522632200893,5.937933811933036,-0.7559652533333333,672
2,2015,3,0.3359534128817204,9.610084364543011,6.539528954052419,20.20392817781183,744
2,2015,4,0.319188386,7.645341084291667,4.766361391230555,40.004739108888884,720
2,2015,5,0.2693113429892473,7.1400306003400535,4.651639169008065,49.23618624150537,744
2,2015,6,0.222773941575,6.188549417229167,3.897097502338889,64.43835022,720
2,2015,7,0.16438970320430107,5.735017159129033,3.7020692765309144,70.03591742430108,744
2,2015,8,0.16991228390860216,6.360339739983871,4.110402609868279,65.6931754888172,744
2,2015,9,0.27947852488888886,7.7964383066472225,5.0190975023333335,60.528766886666666,720
2,2015,10,0.3758140311612903,9.328995654708333,5.991881104563173,38.30930452107527,744
2,2015,11,0.25667283044444444,7.867827195440278,5.022486391236111,28.339322442377775,720
2,2015,12,0.28865959567741933,9.429640816151881,5.887284330353494,16.66454645744624,744
2,2016,1,0.20764588599999997,9.29933167632258,6.415295083106182,12.93820237164516,744
2,2016,2,0.30836398944827587,9.550859763185345,6.479943766784482,16.973996772522987,696
2,2016,3,0.19495704198387095,8.223323611447581,5.270617663682796,28.984573338408605,744
2,2016,4,0.1594447748888889,7.087577195302778,4.679361391236111,38.54432244222222,720
2,2016,5,0.1316679292096774,6.8676784496653225,4.46237841631586,51.760245381290325,744
2,2016,6,0.11602560822222222,7.632604973247222,4.928166946805556,68.46140577555555,720
2,2016,7,0.14594010643010752,6.048054793602151,3.9420289539462363,71.32704645655913,744
2,2016,8,0.13167370911021506,5.890111245186828,3.702714437817204,69.31333677913979,744
2,2016,9,0.17821449730277777,7.527841084383334,4.785833613455556,58.41126688666667,720
2,2016,10,0.17777128943010753,8.02383436411156,5.086907986227151,38.99693892967742,744
2,2016,11,0.16130769193333333,8.798118862477777,5.3184863912375,35.182794664444444,720
2,2016,12,0.17994104780107525,8.34782629964785,5.09098056688172,25.940487317037633,744
3,2013,1,0.34539644165,6.869841084012499,4.405069724559723,23.945989109533336,720
3,2013,2,0.5610750526666667,7.96361787004613,4.850537978532738,33.538231172440476,672
3,2013,3,0.5176778752661291,7.962369310348118,5.18369562063172,36.53161634910753,744
3,2013,4,0.45478810822222226,7.377424417516666,4.811028057898611,51.20432244222222,720
3,2013,5,0.37169534836559137,7.179828987307795,4.6617332550255375,58.91898194043011,744
3,2013,6,0.3498940804444445,6.765118861856945,4.425222502340278,71.53210022,720
3,2013,7,0.1899686010860215,5.515648879458333,3.5344214270645162,75.65150882215053,744
3,2013,8,0.19638634327419355,5.360447266615592,3.472136480827957,68.85029914473118,744
3,2013,9,0.29960769155555556,7.029841084137501,4.5225419467791665,68.43154466444444,720
3,2013,10,0.4515203483655914,8.712785977180108,5.564045083030914,52.58578301569892,744
3,2013,11,0.4744049137777778,7.489854973097223,4.658930835666667,37.22751688666666,720
3,2013,12,0.41527196126881716,7.6088612455577955,4.810523577626344,24.45688516684946,744
3,2014,1,0.3634767999784946,7.893982213537635,4.773843470081989,18.56911635022043,744
