feature,importance
wind_speed_100m_squared,0.24977769200901806
wind_speed_100m_cubed,0.19389036831430717
WS_100m,0.19380033979695027
Location,0.16490547550333595
WG_10m,0.02944037337492383
Temp_2m,0.028095847894975944
DP_2m,0.022257710655869536
month,0.0201435942976938
wind_direction_100m_cos,0.01916608479484573
wind_direction_100m_sin,0.019084308712352584
wind_speed_difference_100m_10m,0.016589664111542064
RelHum_2m,0.015934453375466957
hour,0.015271437502256378
WS_10m,0.011642649656461918
