key,farm,country,cap_op_MW,cap_2050_MW,turb_type,hub_z_m,lat,lon,grid_ix,grid_iy,grid_lat,grid_lon
gallopers,Galloper (S),UK,108.0,108.0,REF-6.0,103,51.7732,2.0174,19.0,62.0,51.7824,2.0056
greatergabbardn,Greater Gabbard (N),UK,367.2,367.2,SWT-3.6-107,78,51.9182,1.9277,17.0,68.0,51.9184,1.9388
greatergabbards,Greater Gabbard (S),UK,136.8,136.8,SWT-3.6-107,78,51.7725,1.9623,18.0,62.0,51.783,1.9692
hornsea1,Hornsea 1,UK,1044.0,1044.0,REF-6.0,113,53.8833,1.9219,14.0,155.0,53.8754,1.9135
hornseaprojectthree,Hornsea Project Three,UK,,2400.0,DTU10,119,53.873,2.5372,30.0,155.0,53.8643,2.5231
hornseaprojecttwo,Hornsea Project Two,UK,,1390.0,DTU10,119,53.9402,1.6877,8.0,158.0,53.9461,1.6875
londonarray,London Array,UK,630.0,630.0,SWT-3.6-120,87,51.6256,1.4963,5.0,55.0,51.6327,1.4917
norfolkboreas,Norfolk Boreas,UK,,1800.0,DTU10,119,53.0384,2.9416,42.0,119.0,53.0455,2.9245
norfolkvanguardeast,Norfolk Vanguard (East),UK,,900.0,DTU10,119,52.8286,2.9251,42.0,109.0,52.8208,2.9095
norfolkvanguardwest,Norfolk Vanguard (West),UK,,900.0,DTU10,119,52.9121,2.4734,30.0,113.0,52.9207,2.4684
scrobysands,Scroby Sands,UK,60.0,60.0,V80_ECN,68,52.6456,1.7862,12.0,100.0,52.6405,1.7854
sofia,Sofia,UK,,1400.0,DTU10,119,54.9899,2.2285,21.0,205.0,54.9938,2.2393
thanet,Thanet,UK,300.0,300.0,V90_ECN,70,51.4304,1.6337,9.0,46.0,51.4285,1.6292
