"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2022 - 01/01/2023","2022","BZN|NL","Biomass","572.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Energy storage","n/e",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Gas","18530.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Hard coal","4006.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Oil","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Fossil Peat","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Geothermal","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Hydro Run-of-river and pondage","38.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Marine","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Nuclear","486.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Other","1.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Other renewable","0.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Solar","14911.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Waste","763.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Wind Offshore","2460.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","Wind Onshore","5310.00",""
"01/01/2022 - 01/01/2023","2022","BZN|NL","","","47077.00"
