"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2025 - 01/01/2026","2025","BZN|NL","Biomass","418.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Energy storage","n/e",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Gas","18412.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Hard coal","4012.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Oil","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Fossil Peat","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Geothermal","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Hydro Run-of-river and pondage","38.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Marine","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Nuclear","486.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Other","1.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Other renewable","0.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Solar","29282.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Waste","777.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Wind Offshore","4739.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","Wind Onshore","7178.00",""
"01/01/2025 - 01/01/2026","2025","BZN|NL","","","65343.00"
