"Time Interval","Year","Area","Production Type","Installed Capacity (MW)","Total Grand Capacity (MW)"
"01/01/2018 - 01/01/2019","2018","BZN|NL","Biomass","489.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Energy storage","n/e",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Brown coal/Lignite","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Coal-derived gas","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Gas","18433.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Hard coal","4631.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Oil","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Oil shale","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Fossil Peat","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Geothermal","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Hydro Pumped Storage","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Hydro Run-of-river and pondage","38.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Hydro Water Reservoir","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Marine","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Nuclear","486.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Other","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Other renewable","0.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Solar","2584.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Waste","683.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Wind Offshore","957.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","Wind Onshore","3675.00",""
"01/01/2018 - 01/01/2019","2018","BZN|NL","","","31976.00"
